trading_day,rank,symbol,security_name,security_id,last_traded_price,closing_price,percentage_change,point_change,market_avg_pct_change,relative_strength
2026-08-21,20,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,8031,267.4,267.4,1.29,3.4,1.15,0.14
2026-08-21,19,PHCL,Peoples Hydropower Company Limited,8133,306.9,306.9,1.29,3.9,1.15,0.14
2026-08-21,18,GBBD85,"Garima Debenture, 2085",8033,1077.8,1077.8,1.3,13.8,1.15,0.15
2026-08-21,17,CFCL,Central Finance Co. Ltd.,245,599.0,599.0,1.51,8.9,1.15,0.36
2026-08-21,16,CHDC,CEDB Holdings Limited,3946,2240.0,2240.0,1.55,34.1,1.15,0.4
2026-08-21,15,H8020,Himalayan 80-20,9221,12.0,12.0,1.69,0.2,1.15,0.54
2026-08-21,14,HHL,Himalayan Hydropower Limited,8076,334.8,334.8,1.73,5.7,1.15,0.58
2026-08-21,13,RBCL,Rastriya Beema Company Limited,177,14069.8,14069.8,1.84,254.8,1.15,0.69
2026-08-21,12,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,8018,1070.0,1070.0,1.9,20.0,1.15,0.75
2026-08-21,11,SMJC,Sagarmatha Jalabidhyut Company Limited,9159,437.0,437.0,2.08,8.9,1.15,0.93
2026-08-21,10,BHPL,Barahi Hydropower Public Limited,9135,478.0,478.0,2.11,9.9,1.15,0.96
2026-08-21,9,HLICF,HLI Large Cap Fund,9290,8.55,8.55,2.15,0.18,1.15,1.0
2026-08-21,8,SEF,Siddhartha Equity Fund,2770,9.51,9.51,2.26,0.21,1.15,1.11
2026-08-21,7,SHPC,Sanima Mai Hydropower Ltd.,591,527.2,527.2,2.57,13.2,1.15,1.42
2026-08-21,6,NIBLGF,NIBL Growth Fund,9138,8.8,8.8,3.77,0.32,1.15,2.62
2026-08-21,5,NSY,Nepal Life Samriddhi Lagani Yojana,9312,9.52,9.52,4.62,0.42,1.15,3.47
2026-08-21,4,HATHY,Hathway Investment Nepal Limited,9213,610.0,610.0,4.99,29.0,1.15,3.84
2026-08-21,3,RHGCL,Rapti Hydro And General Construction Limited,8108,268.0,268.0,5.51,14.0,1.15,4.36
2026-08-21,2,PMHPL,Panchakanya Mai Hydropower Ltd,2786,345.9,345.9,13.86,42.1,1.15,12.71
2026-08-21,1,SAPIL,Sarvottam Paints Industries Limited,9353,797.6,797.6,14.99,104.0,1.15,13.84
