trading_day,rank,symbol,security_name,security_id,closing_price,turnover_npr
2026-08-24,20,PPCL,Panchthar Power Compant Limited,2813,331.0,32134313.9
2026-08-24,19,RADHI,Radhi Bidyut Company Ltd,2776,703.9,35057562.2
2026-08-24,18,LEC,Liberty Energy Company Limited,2903,213.9,36051554.0
2026-08-24,17,NRN,NRN Infrastructure and Development Limited,2898,1363.5,37922455.0
2026-08-24,16,UHEWA,Upper Hewakhola Hydropower Company Limited,8099,600.0,39572522.6
2026-08-24,15,NGPL,Ngadi Group Power Ltd.,2743,403.2,42777650.4
2026-08-24,14,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,8065,1600.0,42853288.2
2026-08-24,13,API,Api Power Company Ltd.,697,331.0,45477551.4
2026-08-24,12,SGHL,Sanigad Hydro Limited,9345,511.0,45631273.3
2026-08-24,11,KKHC,Khanikhola Hydropower Co. Ltd.,2751,278.9,45743859.1
2026-08-24,10,SHPC,Sanima Mai Hydropower Ltd.,591,514.2,52554171.8
2026-08-24,9,MEN,Mountain Energy Nepal Limited,2913,619.1,53380039.2
2026-08-24,8,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,2788,346.0,54541387.0
2026-08-24,7,MEPDL,Mount Everest Power Development Limited,9352,713.9,55903196.6
2026-08-24,6,TAMOR,Sanima Middle Tamor Hydropower Limited,9156,478.0,68647086.9
2026-08-24,5,EDBL,Excel Development Bank Ltd.,274,583.0,75679140.7
2026-08-24,4,RIDI,Ridi Power Company Limited,610,357.0,94037412.6
2026-08-24,3,SAHAS,Sahas Urja Limited,8021,684.0,106521810.3
2026-08-24,2,SOHL,Solu Hydropower Limited,9311,678.9,118847526.5
2026-08-24,1,RSML,Reliance Spinning Mills Limited,9306,2728.0,127282070.9
2026-08-21,20,BHCL,Bikash Hydropower Company Limited,9267,541.0,43054335.9
2026-08-21,19,LEC,Liberty Energy Company Limited,2903,217.3,43356890.4
2026-08-21,18,HPPL,Himalayan Power Partner Ltd.,2767,380.0,43765211.5
2026-08-21,17,NGPL,Ngadi Group Power Ltd.,2743,407.0,46755617.8
2026-08-21,16,SBL,Siddhartha Bank Limited,145,414.0,47773206.2
2026-08-21,15,KKHC,Khanikhola Hydropower Co. Ltd.,2751,269.9,49383659.0
2026-08-21,14,UHEWA,Upper Hewakhola Hydropower Company Limited,8099,607.3,53045702.1
2026-08-21,13,NHPC,National Hydro Power Company Limited,152,265.8,53808051.8
2026-08-21,12,BPCL,Butwal Power Company Limited,153,660.0,56666385.9
2026-08-21,11,SMHL,Super Madi Hydropower Limited,9146,517.0,87836648.1
2026-08-21,10,NRN,NRN Infrastructure and Development Limited,2898,1375.0,90172031.9
2026-08-21,9,MEPDL,Mount Everest Power Development Limited,9352,774.0,102270420.0
2026-08-21,8,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,2788,348.9,106777890.9
2026-08-21,7,SAHAS,Sahas Urja Limited,8021,695.0,113915780.7
2026-08-21,6,MEN,Mountain Energy Nepal Limited,2913,626.3,114645013.1
2026-08-21,5,TAMOR,Sanima Middle Tamor Hydropower Limited,9156,484.7,130533921.7
2026-08-21,4,SHPC,Sanima Mai Hydropower Ltd.,591,527.2,184144159.5
2026-08-21,3,RIDI,Ridi Power Company Limited,610,359.9,186768012.2
2026-08-21,2,SOHL,Solu Hydropower Limited,9311,686.0,245369420.7
2026-08-21,1,RSML,Reliance Spinning Mills Limited,9306,2775.0,263730636.8
